source_unit_id,section_id,claim_text,planned_coverage_state,blocking_item,policy_concept,test_authoring_notes,registry_path
icao9432-extracted::communications_2_8_1_en::5efac97fddfd54ca,communications_2_8_1_en,"When an aircraft wishes to broadcast information to aircraft in its vicinity, the message should be prefaced by the call ""ALL STATIONS"".",phraseology-later,PHRASE-1,,Block on PHRASE-1; typed semantics alone do not prove rendered RT phraseology.,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/communications_2_8_1_en/icao9432-extracted::communications_2_8_1_en::5efac97fddfd54ca.json
icao9432-extracted::communications_2_8_1_en::8b0487b183cd02cf,communications_2_8_1_en,No reply is expected to such general calls unless individual stations are subsequently called upon to acknowledge receipt.,policy-blocked,POLICY-1,OperationalGuidancePolicy,Block on typed policy concept OperationalGuidancePolicy; do not assert one universal behaviour.,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/communications_2_8_1_en/icao9432-extracted::communications_2_8_1_en::8b0487b183cd02cf.json
icao9432-extracted::communications_2_8_1_en::a685cef087951878,communications_2_8_1_en,"When establishing communications, an aircraft should use the full call sign of both the aircraft and the aeronautical station.",phraseology-later,PHRASE-1,,Block on PHRASE-1; typed semantics alone do not prove rendered RT phraseology.,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/communications_2_8_1_en/icao9432-extracted::communications_2_8_1_en::a685cef087951878.json
icao9432-extracted::communications_2_8_1_en::b7acdc88125f1510,communications_2_8_1_en,"When a ground station wishes to broadcast information, the message should be prefaced by the call ""ALL STATIONS"".",phraseology-later,PHRASE-1,,Block on PHRASE-1; typed semantics alone do not prove rendered RT phraseology.,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/communications_2_8_1_en/icao9432-extracted::communications_2_8_1_en::b7acdc88125f1510.json
icao9432-extracted::readback_2_8_3_en::36e6ad16cffe8726,readback_2_8_3_en,"Whenever possible, controllers should pass a route clearance to an aircraft before start-up.",policy-blocked,POLICY-1,ClearanceTimingPolicy,Block on typed policy concept ClearanceTimingPolicy; do not assert one universal behaviour.,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::36e6ad16cffe8726.json
icao9432-extracted::readback_2_8_3_en::ac9111d240cfd2c2,readback_2_8_3_en,"Controllers should pass a clearance slowly and clearly, avoid passing clearances during complicated taxiing, and on no occasion should a clearance be passed when the pilot is engaged in line up or take-off manoeuvres.",expected-gap,FN33-MODEL-1,,Record expected gap for FN33-MODEL-1 with accepted source id and quote.,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::ac9111d240cfd2c2.json
icao9432-extracted::readback_2_8_3_en::f06dfa1cefd2d649,readback_2_8_3_en,"The words 'TAKE OFF' are used only when an aircraft is cleared for take-off, or when canceling a take-off clearance; at other times, the word 'DEPARTURE' or 'AIRBORNE' is used.",phraseology-later,PHRASE-1,,Block on PHRASE-1; typed semantics alone do not prove rendered RT phraseology.,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::f06dfa1cefd2d649.json
icao9432-extracted::readback_2_8_3_en::fe3b04ca9c3384d9,readback_2_8_3_en,An ATC route clearance is not an instruction to take off or enter an active runway.,phraseology-later,PHRASE-1,,Block on PHRASE-1; typed semantics alone do not prove rendered RT phraseology.,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::fe3b04ca9c3384d9.json
icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::4c808d67d281ff71,readback_continuation_2_8_3_7_to_2_8_3_10_en,An aircraft should terminate the read-back by its call sign.,phraseology-later,PHRASE-1,,Block on PHRASE-1; typed semantics alone do not prove rendered RT phraseology.,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_continuation_2_8_3_7_to_2_8_3_10_en/icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::4c808d67d281ff71.json
icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::ce25c18f1b44a6a8,readback_continuation_2_8_3_7_to_2_8_3_10_en,See: APPENDIX 1 DIFFERENCES FROM ICAO RADIOTELEPHONY PROCEDURES,not-applicable,none,,"Accepted source unit is an appendix cross-reference, not a behaviour claim for this simulator chunk.",research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_continuation_2_8_3_7_to_2_8_3_10_en/icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::ce25c18f1b44a6a8.json
icao9432-extracted::transfer_communications_2_8_2_en::96720e821bf926cc,transfer_communications_2_8_2_en,Phraseology for frequency change includes 'CONTACT [Unit] [Frequency]' and readback 'Frequency Callsign'.,phraseology-later,PHRASE-1,,Block on PHRASE-1; typed semantics alone do not prove rendered RT phraseology.,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/transfer_communications_2_8_2_en/icao9432-extracted::transfer_communications_2_8_2_en::96720e821bf926cc.json
