sampleId,sampleKind,documentId,sectionId,familyId,sourcePath,startLine,endLine,lineCount,recordCount,riskTags,notes,omissionVerdict,missingRequirementCount,missingRequirementNotes,reviewerNotes
S001,section,cap413-extracted,readback_2_68_2_71,cap413_readback_family,research/txt/cap413-extracted.txt,6429,6555,127,8,dialogue_examples,"§2.68-2.71 Read-back Requirements (narrowed scope; the §2.65-2.67 introductory clauses and §2.72 UNABLE handling are out of scope for the readback-family proving slice). Numbered subsections with embedded RTF dialogue examples (BIGJET 347, G-ABCD, G-CD).",no_material_omission,0,,"Reviewed CAP 413 2.68-2.71 against accepted siblings: required readback list, acknowledgement, callsign, incorrect-readback correction, and clarification/repeat obligations are represented."
S002,section,egast-vfr-extracted,readback_advisory,egast_vfr_readback_family,research/txt/egast-vfr-extracted.txt,539,608,70,17,local_or_best_practice;nested_conditions,"Readback advisory family. Mixed best-practice prose, bullet list of items requiring readback, acknowledgement-by-callsign rule, Wilco usage, and read-back-when-required guidance, with inline page-layout noise. No clause numbering.",no_material_omission,0,,"Reviewed EGAST readback advisory: required item list, WILCO/ROGER usage, callsign acknowledgement, clarification, and take-off-clearance ordering guidance are represented."
S003,section,h01-extracted,acknowledgement_3_8_1,h01_readback_family,research/txt/h01-extracted.txt,4197,4337,141,12,bilingual;nested_conditions;parent_child,"§3.8.1 ACKNOWLEDGEMENT OF RECEIPT, items a)-h). Bilingual German/English: each lettered item appears twice (German first, English second) with the same letter marker. Nested numbered list 1-4 (the items always to be read back) is laid out separately from its parent clause c) due to two-column extraction.",no_material_omission,0,,"Reviewed H01 3.8.1 bilingual acknowledgement/readback section: English operative readback items, CPDLC exception, controller correction duty, and acknowledgement shape are represented."
S004,section,h01-extracted,end_of_conversation_3_8_2,h01_end_of_conversation_family,research/txt/h01-extracted.txt,4339,4348,10,1,bilingual,§3.8.2 END OF CONVERSATION. Bilingual single-paragraph rule: a radiotelephone conversation shall be terminated by the receiving ATS unit or aircraft using its own callsign.,no_material_omission,0,,Reviewed H01 3.8.2: the single end-of-conversation callsign rule is represented.
S005,section,icao4444-extracted,departing_aircraft_7_9,icao4444_departing_aircraft_family,research/txt/icao4444-extracted.txt,9031,9110,80,19,nested_conditions;table_or_figure,"§7.9 Control of Departing Aircraft: §7.9.1 Departure sequence (with priority factors a-f), §7.9.2 Separation of departing aircraft (the 'crossed end of runway / started a turn' rule), §7.9.3.1-7.9.3.5 Take-off clearance (timing, ATC clearance prerequisite, TAKE-OFF phraseology rule, 'immediate take-off' clearance). Includes inline Note text and figure-layout artifacts.",no_material_omission,0,,"Reviewed ICAO 4444 7.9: departure sequencing, separation-before-takeoff, ATFM/priority factors, take-off-clearance timing, runway designator, and immediate take-off conditions are represented."
S006,section,icao4444-extracted,readback_4_5_7_5,icao4444_readback_family,research/txt/icao4444-extracted.txt,3401,3429,29,9,nested_conditions;parent_child,"§4.5.7.5 Readback family: parent clause, subordinate list (a/b/c), notes, and following standalone clauses (4.5.7.5.1.1, 4.5.7.5.2, 4.5.7.5.2.1).",no_material_omission,0,,"Reviewed ICAO 4444 4.5.7.5: actionable readback items, controller listen/correct duty, CPDLC voice-readback exception, and level reporting note are represented."
S007,section,icao4444-extracted,reduced_runway_7_11,icao4444_reduced_runway_family,research/txt/icao4444-extracted.txt,9175,9245,71,18,nested_conditions,"§7.11.1-7.11.6 Reduced runway separation minima between aircraft using the same runway: safety-assessment prerequisite, hours-of-daylight constraint, aircraft classification, departing-vs-landing exclusion, conditional preconditions list.",no_material_omission,0,,"Reviewed ICAO 4444 7.11: reduced-runway-separation prerequisites, daylight/weather/braking/wake constraints, category definitions, publication/training duties, and departing/landing exclusion are represented."
S008,section,icao4444-extracted,transfer_4_3_2_1,icao4444_transfer_family,research/txt/icao4444-extracted.txt,3086,3131,46,10,nested_conditions;parent_child,"§4.3.2.1 Transfer family: arriving and departing control-transfer clauses, nested conditions, and supporting note. Parent + mutually-exclusive sibling shape (a/b).",no_material_omission,0,,Reviewed ICAO 4444 4.3.2.1: arriving/departing transfer conditions and communications-transfer timing guidance are represented through accepted parent-plus-condition records.
S009,section,icao9432-extracted,taxi_4_4_en,icao9432_taxi_family,research/txt/icao9432-extracted.txt,4917,5139,223,9,dialogue_examples,"§4.4 Taxi Instructions, English portion. Comprehensive operational phraseology section: taxi-clearance content, runway-crossing, hold-short instructions, aircraft-stand procedures, with extensive RTF dialogue examples interleaved with rule prose.",no_material_omission,0,,"Reviewed ICAO 9432 4.4 English taxi section: clearance-limit, runway-crossing/hold-short, ATIS/departure-information, runway-vacated, and departure taxi-limit rules are represented; dialogue examples add no separate material unit."
S010,section,safetysense22-extracted,readbacks,safetysense22_readback_family,research/txt/safetysense22-extracted.txt,485,552,68,16,local_or_best_practice;nested_conditions,"Readbacks section. Best-practice prose with a numbered list (1-15) of items requiring readback, each item laid out across two lines (number on its own line, item text following) due to two-column extraction.",no_material_omission,0,,Reviewed SafetySense readbacks: all 15 listed readback item obligations are represented; the rejected parent heading is intentionally redundant.
S011,section,sera-923-2012-extracted,clearances_8015_a_d,sera_clearances_family,research/txt/sera-923-2012-extracted.txt,1985,2022,38,13,nested_conditions,"SERA.8015 Air traffic control clearances paragraphs (a)-(d): (a) basis of clearances, (b) operation subject to clearance with sub-numbered cases, (c) potential reclearance, (d) contents of clearances (5 numbered fields). The (e) readback paragraph already covered separately as readback_8015_e.",no_material_omission,0,,"Reviewed SERA.8015(a)-(d): clearance basis, request/priority/reclearance, controlled-aerodrome taxi clearance, and five clearance-content fields are represented."
S012,section,slovenia-vfr-extracted,readback,slovenia_vfr_readback_family,research/txt/slovenia-vfr-extracted.txt,524,565,42,15,local_or_best_practice;nested_conditions,"Read-back / Items / Wilco / Acknowledgement-by-call-sign / Transmitting-technique sub-sections. Best-practice prose with bullet list of items requiring readback, mostly mirroring CAP 413 / EGAST shape.",no_material_omission,0,,"Reviewed Slovenia VFR readback section: required item list, WILCO/ROGER usage, complete readback/callsign, take-off-clearance ordering, and transmission-technique guidance are represented."
