rowId,documentId,sectionRef,title,disposition,priority,startLine,endLine,queueState,rationale,nextAction
cap413-extracted::cap413_ch2,cap413-extracted,CAP413 Ch2,Radiotelephony general procedures,partially_extracted,high,,,needs_exact_line_range,Current registry covers readback requirements plus CAP 413 §§2.82-2.91; other communication procedures remain available.,Consider in a future topic batch.
cap413-extracted::cap413_ch2_clearance_issue_and_read_back_requirements,cap413-extracted,CAP413 Ch2 Clearance Issue and Read-back Requirements,Clearance issue and read-back requirements,partially_extracted,high,,,needs_exact_line_range,Registry covers CAP 413 2.68-2.71 and exact windows exist for 2.65-2.67 and 2.72-2.75.,Consider in a future topic batch.
cap413-extracted::cap413_ch4,cap413-extracted,CAP413 Ch4,Aerodrome phraseology,extract,high,,,needs_exact_line_range,High-value tower/taxi/takeoff/landing phraseology coverage not represented by current manifest.,Consider in a future topic batch.
cap413-extracted::cap413_ch8,cap413-extracted,CAP413 Ch8,Emergency phraseology,extract,high,,,needs_exact_line_range,Emergency communications likely valuable for controller/pilot failure modes.,Consider in a future topic batch.
h01-extracted::h01_3_3,h01-extracted,H01 3.3,Establishment of radiotelephony communications,extract,high,,,needs_exact_line_range,Austrian operational guidance; bilingual text needs English-side filtering before extraction.,Use in a phraseology/communications topic batch.
h01-extracted::h01_3_8,h01-extracted,H01 3.8,Exchange of communications,partially_extracted,high,,,needs_exact_line_range,Austrian operational guidance; bilingual text needs English-side filtering before extraction.,Use in a phraseology/communications topic batch.
h01-extracted::h01_3_10,h01-extracted,H01 3.10,Transfer of VHF communications,extract,high,,,needs_exact_line_range,Austrian operational guidance; bilingual text needs English-side filtering before extraction.,Use in a phraseology/communications topic batch.
h01-extracted::h01_4,h01-extracted,H01 4,Contingencies,extract,high,,,needs_exact_line_range,Austrian operational guidance; bilingual text needs English-side filtering before extraction.,Use in a phraseology/communications topic batch.
h01-extracted::h01_4_1,h01-extracted,H01 4.1,Distress and urgency communication procedures,extract,high,,,needs_exact_line_range,Austrian operational guidance; bilingual text needs English-side filtering before extraction.,Use in a phraseology/communications topic batch.
h01-extracted::h01_4_4,h01-extracted,H01 4.4,Voice communications failure,extract,high,,,needs_exact_line_range,Austrian operational guidance; bilingual text needs English-side filtering before extraction.,Use in a phraseology/communications topic batch.
h01-extracted::h01_5_3,h01-extracted,H01 5.3,Controlled aerodromes,extract,high,,,needs_exact_line_range,Austrian operational guidance; bilingual text needs English-side filtering before extraction.,Use in a phraseology/communications topic batch.
h01-extracted::h01_5_4,h01-extracted,H01 5.4,Aerodromes without air traffic control,extract,high,,,needs_exact_line_range,Austrian operational guidance; bilingual text needs English-side filtering before extraction.,Use in a phraseology/communications topic batch.
