documentStem,documentId,sectionId,familyId,startLine,endLine,authorityCeiling,acceptedRecords,pendingRecords,rejectedRecords,state,notes
cap413,cap413-extracted,ch4_4_1_to_4_4,cap413_ch4_4_1_to_4_4_family,7906,7986,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.1-4.4: heading-aligned source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_5,cap413_ch4_4_5_family,7987,8100,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.5: heading-aligned source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_6_to_4_10,cap413_ch4_4_6_to_4_10_family,8101,8182,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §§4.6-4.10: heading-aligned source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_11_to_4_12,cap413_ch4_4_11_to_4_12_family,8183,8321,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.11-4.12: heading-aligned source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_13_to_4_16,cap413_ch4_4_13_to_4_16_family,8322,8429,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.13-4.16: heading-aligned source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_17_to_4_23,cap413_ch4_4_17_to_4_23_family,8430,8527,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.17-4.23: heading-aligned source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_24_to_4_25,cap413_ch4_4_24_to_4_25_family,8528,8557,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.24-4.25: split from the former §4.24-4.33 window after structure validation required a narrower source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_26,cap413_ch4_4_26_family,8558,8572,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.26: split from the former §4.24-4.33 window after structure validation required a narrower source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_27_to_4_30,cap413_ch4_4_27_to_4_30_family,8573,8618,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.27-4.30: split from the former §4.24-4.33 window after structure validation required a narrower source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_31,cap413_ch4_4_31_family,8619,8629,operational_guidance,0,0,0,ready_to_ingest,CAP 413 Chapter 4 §4.31: split from the former §4.24-4.33 window after structure validation required a narrower source window. Treat the numbered immediate-take-off cases as separate source-supported subclauses where appropriate.
cap413,cap413-extracted,ch4_4_32,cap413_ch4_4_32_family,8630,8670,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.32: split from the former §4.24-4.33 window after structure validation required a narrower source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_33,cap413_ch4_4_33_family,8671,8688,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.33: split from the former §4.24-4.33 window after structure validation required a narrower source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_34_to_4_39,cap413_ch4_4_34_to_4_39_family,8689,8864,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.34-4.39: heading-aligned source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
cap413,cap413-extracted,ch4_4_40_to_4_44,cap413_ch4_4_40_to_4_44_family,8865,8979,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 Chapter 4 §4.40-4.44: heading-aligned source window. Extract only source-supported rules, advisory guidance, and phraseology examples; do not infer topic labels from the manifest ID."
