sampleId,sampleKind,bucket,documentId,sectionId,canonicalId,lifecycleState,authorityClass,modality,requirementKind,testability,verificationMode,riskTags,claimText,exactSourceQuotes,curationAction,reviewVerdict,errorType,severity,reviewerNotes
R001,record,candidates,cap413-extracted,readback_2_68_2_71,cap413-extracted::readback_2_68_2_71::5be7cfa8ac79626b,accepted,operational_guidance,none,workflow_constraint,sim_executable,deterministic_test,challenger_overridden;curated;dialogue_examples;executable_or_partial;judge_demoted,"If a readback is not received for a required message, the pilot/driver will be asked to do so.",If a readback is not received the pilot/driver will be asked to do so,promote_with_corrections,correct,,,Correct: source says pilots/drivers will be asked to read back required messages if no readback is received.
R002,record,candidates,egast-vfr-extracted,readback_advisory,egast-vfr-extracted::readback_advisory::2c0a6da5b0abc95f,accepted,background_support,note,background_support,review_only,review_only,challenger_overridden;curated;judge_demoted;local_or_best_practice;nested_conditions;support_only,Reading back a clearance and any safety critical information helps both the pilot and the controller understand what the aircraft has been instructed to do.,Reading back a clearance and any safety critical information helps both the pilot and the controller understand what the aircraft has been instructed to do.,promote_with_corrections,correct,,,"Correct as background support, not an executable rule."
R003,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::1ba408f68e9b501d,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,bilingual;challenger_overridden;curated;executable_or_partial;judge_demoted;nested_conditions;parent_child,"Clearances and instructions to enter, land on, take off from, hold short of, cross, taxi and backtrack on any runway shall always be read back.","The following items shall always be read back:
---
Clearances and instructions to enter, land on, take off from, hold short of, cross, taxi and backtrack on any runway",promote,correct,,,Correct: item-level readback requirement is supported by the parent list heading plus item text.
R004,record,rejected,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::647df1446645072b,rejected,authoritative_requirement,shall,rule,partially_executable,property_or_family_test,bilingual;curated;curation_reject;executable_or_partial;judge_demoted;nested_conditions;non_accepted;parent_child,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,reject,correct,,,Correct lifecycle: source-supported umbrella is rejected as redundant because item-level records cover the actionable content.
R005,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::d19604b475643777,accepted,operational_guidance,may,advisory_permission,review_only,review_only,bilingual;curated;judge_demoted;nested_conditions;parent_child,It is permissible for verification for the receiving station to read back the message as an additional acknowledgement of receipt.,It is permissible for verification for the receiving station to read back the message as an additional acknowledgement of receipt.,promote_with_corrections,correct,,,Correct operational guidance.
R006,record,candidates,h01-extracted,corrections_3_8_3,h01-extracted::corrections_3_8_3::16272622eb9270ac,accepted,operational_guidance,should,best_practice,review_only,review_only,bilingual;challenger_overridden;curated;judge_demoted,"Specific items should be requested, as appropriate, such as SAY AGAIN WIND.","Specific items should be requested, as appropriate, such as “SAY AGAIN WIND”.",promote,correct,,,Correct; quote punctuation differs typographically only and is verbatim-normalization safe.
R007,record,candidates,h01-extracted,end_of_conversation_3_8_2,h01-extracted::end_of_conversation_3_8_2::1d66565b4872e6a0,accepted,operational_guidance,shall,rule,sim_executable,deterministic_test,bilingual;challenger_overridden;executable_or_partial,A radiotelephone conversation shall be terminated by the receiving ATS unit or the aircraft using its own call sign.,A radiotelephone conversation shall be terminated by the receiving ATS unit or the aircraft using its own call sign.,,correct,,,Correct; AIC phraseology rule represented as operational guidance.
R008,record,rejected,icao4444-extracted,aerodrome_traffic_7_6,icao4444-extracted::aerodrome_traffic_7_6::1ebd71be057d48f1,rejected,authoritative_requirement,shall,rule,sim_executable,deterministic_test,challenger_overridden;curated;curation_reject;executable_or_partial;judge_demoted;non_accepted;table_or_figure,"Take-off clearance shall be issued at Position 3, if not practicable at Position 2.","Position 3. Take-off clearance is issued here, if not practicable at position 2.",reject,correct,,,Correct lifecycle: original over-promoted shall-strength Position 3 claim remains rejected; corrected accepted replacement is a26c04036fcf96bb.
R009,record,candidates,icao4444-extracted,aerodrome_traffic_7_6,icao4444-extracted::aerodrome_traffic_7_6::ea64ad7c56d8e4ef,accepted,best_practice,should,best_practice,partially_executable,property_or_family_test,executable_or_partial;judge_overridden;table_or_figure,Aircraft should be watched closely as they approach these positions so that proper clearances may be issued without delay.,Aircraft should be watched closely as they approach these positions so that proper clearances may be issued without delay.,,correct,,,Correct best-practice guidance.
R010,record,rejected,icao4444-extracted,arriving_aircraft_7_10,icao4444-extracted::arriving_aircraft_7_10::b69123447be6f6b8,rejected,background_support,note,definition,review_only,review_only,curated;curation_reject;judge_demoted;nested_conditions;non_accepted;support_only,See 7.6.3.1.2.2.,Note 3.— See 7.6.3.1.2.2.,reject,correct,,,Correct lifecycle: cross-reference-only note is not actionable enough for accepted output.
