priority,decision,document_id,source_path,proposed_section_id,source_section,start_line,end_line,source_role,authority_ceiling,ledger_rows,language_boundary,overlap_status,rationale,next_action
1,add,sera-923-2012-extracted,research/txt/sera-923-2012-extracted.txt,clearance_coordination_8015_f,SERA.8015(f),2038,2071,binding_law,authoritative_requirement,sera-923-2012-extracted::sera_8015,english_only,no_overlap,"Completes the existing SERA.8015 clearance slice by adding coordination, downstream-clearance, and controlled-airspace scope clauses.",Add to sera.json in the first clearance/comms manifest widening.
2,add,sera-923-2012-extracted,research/txt/sera-923-2012-extracted.txt,adherence_flight_plan_8020,SERA.8020,2072,2129,binding_law,authoritative_requirement,sera-923-2012-extracted::sera_8020,english_only,no_overlap,"Defines when controlled flights must adhere to the current flight plan and when amended clearance or emergency deviation changes that duty.",Add to sera.json in the first clearance/comms manifest widening.
3,add,sera-923-2012-extracted,research/txt/sera-923-2012-extracted.txt,position_reports_8025,SERA.8025,2130,2138,binding_law,authoritative_requirement,sera-923-2012-extracted::sera_8025,english_only,no_overlap,"Binding controlled-flight position-report duty and data-link exception.",Add to sera.json in the first clearance/comms manifest widening.
4,add,sera-923-2012-extracted,research/txt/sera-923-2012-extracted.txt,termination_control_8030,SERA.8030,2139,2141,binding_law,authoritative_requirement,sera-923-2012-extracted::sera_8030,english_only,no_overlap,"Defines the aircraft duty to advise ATC when a controlled flight ceases to be subject to ATC service.",Add to sera.json in the first clearance/comms manifest widening.
5,add,sera-923-2012-extracted,research/txt/sera-923-2012-extracted.txt,communications_8035,SERA.8035,2142,2160,binding_law,authoritative_requirement,sera-923-2012-extracted::sera_8035,english_only,no_overlap,"Binding continuous air-ground voice watch and two-way communication requirement for controlled flight, including CPDLC persistence and comms-failure reference.",Add to sera.json in the first clearance/comms manifest widening.
6,add,icao4444-extracted,research/txt/icao4444-extracted.txt,control_responsibility_4_3_1,ICAO Doc 4444 4.3.1,3071,3085,icao_procedure,authoritative_requirement,icao4444-extracted::icao4444_4_3,english_only,no_overlap,"Adds the general designation-of-responsibility rule that frames the existing 4.3.2.1 transfer slice.",Add to icao4444.json in the first clearance/comms manifest widening.
7,add,icao4444-extracted,research/txt/icao4444-extracted.txt,control_transfer_app_acc_sector_4_3_3_to_4_3_5,ICAO Doc 4444 4.3.3-4.3.5,3132,3164,icao_procedure,authoritative_requirement,icao4444-extracted::icao4444_4_3,english_only,no_overlap,"Adds approach/area and sector responsibility transfer rules adjacent to the existing aerodrome/approach transfer slice.",Add to icao4444.json in the first clearance/comms manifest widening.
8,add,icao4444-extracted,research/txt/icao4444-extracted.txt,clearance_scope_contents_4_5_1_to_4_5_7_4,ICAO Doc 4444 4.5.1-4.5.7.4,3265,3400,icao_procedure,authoritative_requirement,icao4444-extracted::icao4444_4_5,english_only,no_overlap,"Defines scope, purpose, timing, contents, limits, route/level content, and amended-clearance semantics before the existing readback window.",Add to icao4444.json in the first clearance/comms manifest widening.
9,add,icao4444-extracted,research/txt/icao4444-extracted.txt,position_reporting_voice_4_11_1_to_4_11_3,ICAO Doc 4444 4.11.1-4.11.3,3723,3808,icao_procedure,authoritative_requirement,icao4444-extracted::icao4444_4_11,english_only,no_overlap,"Procedural counterpart to SERA.8025: when position reports are made, contents of voice reports, and initial-call content after channel change.",Add to icao4444.json in the first clearance/comms manifest widening.
10,add,icao4444-extracted,research/txt/icao4444-extracted.txt,systems_equipment_failure_4_14,ICAO Doc 4444 4.14,4116,4120,icao_procedure,authoritative_requirement,icao4444-extracted::icao4444_4_14,english_only,no_overlap,"Small high-signal rule for ATC reporting of communication, navigation, surveillance, or other safety-significant system failures.",Add to icao4444.json in the first clearance/comms manifest widening unless the batch is capped strictly at 15 windows.
