sampleId,sampleKind,documentId,sectionId,familyId,sourcePath,startLine,endLine,lineCount,recordCount,riskTags,notes,omissionVerdict,missingRequirementCount,missingRequirementNotes,reviewerNotes
S001,section,cap413-extracted,readback_2_68_2_71,cap413_readback_family,research/txt/cap413-extracted.txt,6429,6555,127,8,dialogue_examples,"§2.68-2.71 Read-back Requirements (narrowed scope; the §2.65-2.67 introductory clauses and §2.72 UNABLE handling are out of scope for the readback-family proving slice). Numbered subsections with embedded RTF dialogue examples (BIGJET 347, G-ABCD, G-CD).",no_material_omission,0,,"Closure sample review at exact manifest-window scope. Remaining source-level hardening rows, if any, are outside this sampled manifest window and are carried as source-level scoped non-claims."
S002,section,egast-vfr-extracted,readback_advisory,egast_vfr_readback_family,research/txt/egast-vfr-extracted.txt,539,608,70,17,local_or_best_practice;nested_conditions,"Readback advisory family. Mixed best-practice prose, bullet list of items requiring readback, acknowledgement-by-callsign rule, Wilco usage, and read-back-when-required guidance, with inline page-layout noise. No clause numbering.",no_material_omission,0,,"Closure sample review at exact manifest-window scope. Remaining source-level hardening rows, if any, are outside this sampled manifest window and are carried as source-level scoped non-claims."
S003,section,h01-extracted,acknowledgement_3_8_1,h01_readback_family,research/txt/h01-extracted.txt,4197,4337,141,12,bilingual;nested_conditions;parent_child,"§3.8.1 ACKNOWLEDGEMENT OF RECEIPT, items a)-h). Bilingual German/English: each lettered item appears twice (German first, English second) with the same letter marker. Nested numbered list 1-4 (the items always to be read back) is laid out separately from its parent clause c) due to two-column extraction.",no_material_omission,0,,"Closure sample review at exact manifest-window scope. Remaining source-level hardening rows, if any, are outside this sampled manifest window and are carried as source-level scoped non-claims."
S004,section,h01-extracted,assurance_rtf_frequencies_3_9,h01_assurance_rtf_frequency_family,research/txt/h01-extracted.txt,4467,4485,19,2,bilingual;dialogue_examples,§3.9 ASSURANCE OF RTF COMMUNICATION/FREQUENCIES TO BE USED. Bilingual German/English: aircraft frequency-use obligation and air-ground control station frequency designation responsibility.,no_material_omission,0,,"Closure sample review at exact manifest-window scope. Remaining source-level hardening rows, if any, are outside this sampled manifest window and are carried as source-level scoped non-claims."
S005,section,icao4444-extracted,departing_aircraft_7_9,icao4444_departing_aircraft_family,research/txt/icao4444-extracted.txt,9031,9110,80,19,nested_conditions;table_or_figure,"§7.9 Control of Departing Aircraft: §7.9.1 Departure sequence (with priority factors a-f), §7.9.2 Separation of departing aircraft (the 'crossed end of runway / started a turn' rule), §7.9.3.1-7.9.3.5 Take-off clearance (timing, ATC clearance prerequisite, TAKE-OFF phraseology rule, 'immediate take-off' clearance). Includes inline Note text and figure-layout artifacts.",no_material_omission,0,,"Closure sample review at exact manifest-window scope. Remaining source-level hardening rows, if any, are outside this sampled manifest window and are carried as source-level scoped non-claims."
S006,section,icao4444-extracted,readback_4_5_7_5,icao4444_readback_family,research/txt/icao4444-extracted.txt,3401,3429,29,9,nested_conditions;parent_child,"§4.5.7.5 Readback family: parent clause, subordinate list (a/b/c), notes, and following standalone clauses (4.5.7.5.1.1, 4.5.7.5.2, 4.5.7.5.2.1).",no_material_omission,0,,"Closure sample review at exact manifest-window scope. Remaining source-level hardening rows, if any, are outside this sampled manifest window and are carried as source-level scoped non-claims."
S007,section,icao4444-extracted,reduced_runway_7_11,icao4444_reduced_runway_family,research/txt/icao4444-extracted.txt,9175,9245,71,18,nested_conditions,"§7.11.1-7.11.6 Reduced runway separation minima between aircraft using the same runway: safety-assessment prerequisite, hours-of-daylight constraint, aircraft classification, departing-vs-landing exclusion, conditional preconditions list.",no_material_omission,0,,"Closure sample review at exact manifest-window scope. Remaining source-level hardening rows, if any, are outside this sampled manifest window and are carried as source-level scoped non-claims."
S008,section,icao4444-extracted,transfer_4_3_2_1,icao4444_transfer_family,research/txt/icao4444-extracted.txt,3086,3131,46,10,nested_conditions;parent_child,"§4.3.2.1 Transfer family: arriving and departing control-transfer clauses, nested conditions, and supporting note. Parent + mutually-exclusive sibling shape (a/b).",no_material_omission,0,,"Closure sample review at exact manifest-window scope. Remaining source-level hardening rows, if any, are outside this sampled manifest window and are carried as source-level scoped non-claims."
S009,section,icao9432-extracted,transfer_communications_2_8_2_en,icao9432_clearance_comms_phraseology_family,research/txt/icao9432-extracted.txt,3830,3855,26,6,dialogue_examples,ICAO Doc 9432 §2.8.2 English-only transfer-of-communications guidance and examples. Polish translation begins after this window. Hardened in clearance_comms_2026-04-30.,no_material_omission,0,,"Closure sample review at exact manifest-window scope. Remaining source-level hardening rows, if any, are outside this sampled manifest window and are carried as source-level scoped non-claims."
S010,section,safetysense22-extracted,readbacks,safetysense22_readback_family,research/txt/safetysense22-extracted.txt,485,552,68,16,local_or_best_practice;nested_conditions,"Readbacks section. Best-practice prose with a numbered list (1-15) of items requiring readback, each item laid out across two lines (number on its own line, item text following) due to two-column extraction.",no_material_omission,0,,"Closure sample review at exact manifest-window scope. Remaining source-level hardening rows, if any, are outside this sampled manifest window and are carried as source-level scoped non-claims."
