source_unit_id,document_id,section_id,family_id,claim_text,modality,authority_class,requirement_kind,registry_testability,verification_mode,source_quote_excerpt,start_line,end_line,registry_path,operational_area,chunk_id,normative_kind,current_testability,likely_target,policy_concept,blocking_item
icao9432-extracted::communications_2_8_1_en::0a964f42b6100596,icao9432-extracted,communications_2_8_1_en,icao9432_communications_family,"If there is doubt that a message has been correctly received, a repetition of the messages shall be requested either in full or in part.",shall,operational_guidance,rule,review_only,review_only,"If there is doubt that a message has been correctly received, a repetition of the messages shall be requested either in full or in part.",3642,3697,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/communications_2_8_1_en/icao9432-extracted::communications_2_8_1_en::0a964f42b6100596.json,communications-establishment,chunk-01-comms-readback-transfer,must,testable-now,protocolEvidence,,
icao9432-extracted::communications_2_8_1_en::5efac97fddfd54ca,icao9432-extracted,communications_2_8_1_en,icao9432_communications_family,"When an aircraft wishes to broadcast information to aircraft in its vicinity, the message should be prefaced by the call ""ALL STATIONS"".",should,operational_guidance,phraseology_rule,review_only,review_only,"When an aircraft wishes to broadcast information to aircraft in its vicinity, the message should be prefaced by the call"" ALL STATIONS"".",3642,3697,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/communications_2_8_1_en/icao9432-extracted::communications_2_8_1_en::5efac97fddfd54ca.json,communications-establishment,chunk-01-comms-readback-transfer,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::communications_2_8_1_en::8b0487b183cd02cf,icao9432-extracted,communications_2_8_1_en,icao9432_communications_family,No reply is expected to such general calls unless individual stations are subsequently called upon to acknowledge receipt.,note,operational_guidance,best_practice,review_only,review_only,No reply is expected to such general calls unless individual stations are subsequently called upon to acknowledge receipt.,3642,3697,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/communications_2_8_1_en/icao9432-extracted::communications_2_8_1_en::8b0487b183cd02cf.json,communications-establishment,chunk-01-comms-readback-transfer,policy,needs-policy-type,simEvidence,OperationalGuidancePolicy,POLICY-1
icao9432-extracted::communications_2_8_1_en::a685cef087951878,icao9432-extracted,communications_2_8_1_en,icao9432_communications_family,"When establishing communications, an aircraft should use the full call sign of both the aircraft and the aeronautical station.",should,operational_guidance,phraseology_rule,review_only,review_only,"When establishing communications, an, aircraft should use the full call sign of both the aircraft and the aeronautical station.",3642,3697,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/communications_2_8_1_en/icao9432-extracted::communications_2_8_1_en::a685cef087951878.json,communications-establishment,chunk-01-comms-readback-transfer,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::communications_2_8_1_en::b7acdc88125f1510,icao9432-extracted,communications_2_8_1_en,icao9432_communications_family,"When a ground station wishes to broadcast information, the message should be prefaced by the call ""ALL STATIONS"".",should,operational_guidance,phraseology_rule,review_only,review_only,"When a ground station wishes to broadcast information, the message should be prefaced by the call ""ALL STATIONS"".",3642,3697,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/communications_2_8_1_en/icao9432-extracted::communications_2_8_1_en::b7acdc88125f1510.json,communications-establishment,chunk-01-comms-readback-transfer,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::readback_2_8_3_en::15940532b37f8528,icao9432-extracted,readback_2_8_3_en,icao9432_readback_family,"Clearances and instructions to enter, land on, take off from, hold short of, cross and backtrack on any runway shall always be read back.",shall,authoritative_requirement,rule,sim_executable,deterministic_test,The following shall always be read back:,3903,3950,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::15940532b37f8528.json,readback-hearback,chunk-01-comms-readback-transfer,must,testable-now,protocolEvidence,,
icao9432-extracted::readback_2_8_3_en::25c245bc4728ed60,icao9432-extracted,readback_2_8_3_en,icao9432_readback_family,"Runway-in-use, altimeter settings, SSR codes, level instructions, heading and speed instructions, and transition levels shall always be read back.",shall,authoritative_requirement,rule,sim_executable,deterministic_test,The following shall always be read back:,3903,3950,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::25c245bc4728ed60.json,readback-hearback,chunk-01-comms-readback-transfer,must,testable-now,protocolEvidence,,
icao9432-extracted::readback_2_8_3_en::36e6ad16cffe8726,icao9432-extracted,readback_2_8_3_en,icao9432_readback_family,"Whenever possible, controllers should pass a route clearance to an aircraft before start-up.",should,operational_guidance,best_practice,partially_executable,property_or_family_test,"Whenever possible, a route clearance should be passed to an aircraft before start up.",3903,3950,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::36e6ad16cffe8726.json,readback-hearback,chunk-01-comms-readback-transfer,policy,needs-policy-type,simEvidence,ClearanceTimingPolicy,POLICY-1
icao9432-extracted::readback_2_8_3_en::4b6ece953649da07,icao9432-extracted,readback_2_8_3_en,icao9432_readback_family,"Other clearances or instructions, including conditional clearances, shall be read back or acknowledged in a manner to clearly indicate that they have been understood and will be complied with.",shall,authoritative_requirement,rule,partially_executable,property_or_family_test,"Other clearances or instructions, including conditional clearances, shall be read back or acknowledged in a manner to clearly indicate that they have been understood and will be complied with.",3903,3950,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::4b6ece953649da07.json,readback-hearback,chunk-01-comms-readback-transfer,must,testable-now,protocolEvidence,,
icao9432-extracted::readback_2_8_3_en::58594a8ee6243296,icao9432-extracted,readback_2_8_3_en,icao9432_readback_family,ATC route clearances shall always be read back.,shall,authoritative_requirement,rule,sim_executable,deterministic_test,The following shall always be read back:,3903,3950,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::58594a8ee6243296.json,readback-hearback,chunk-01-comms-readback-transfer,must,testable-now,protocolEvidence,,
icao9432-extracted::readback_2_8_3_en::ac9111d240cfd2c2,icao9432-extracted,readback_2_8_3_en,icao9432_readback_family,"Controllers should pass a clearance slowly and clearly, avoid passing clearances during complicated taxiing, and on no occasion should a clearance be passed when the pilot is engaged in line up or take-off manoeuvres.",should,operational_guidance,best_practice,review_only,review_only,Controllers should pass a clearance slowly and clearly,3903,3950,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::ac9111d240cfd2c2.json,readback-hearback,chunk-01-comms-readback-transfer,must-not,needs-observation-fact,simEvidence,,FN33-MODEL-1
icao9432-extracted::readback_2_8_3_en::f06dfa1cefd2d649,icao9432-extracted,readback_2_8_3_en,icao9432_readback_family,"The words 'TAKE OFF' are used only when an aircraft is cleared for take-off, or when canceling a take-off clearance; at other times, the word 'DEPARTURE' or 'AIRBORNE' is used.",shall,authoritative_requirement,phraseology_rule,sim_executable,deterministic_test,"The words ""TAKE OFF"" are used only when an aircraft is cleared for take-off, or when canceling a take-off clearance.",3903,3950,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::f06dfa1cefd2d649.json,readback-hearback,chunk-01-comms-readback-transfer,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::readback_2_8_3_en::fe3b04ca9c3384d9,icao9432-extracted,readback_2_8_3_en,icao9432_readback_family,An ATC route clearance is not an instruction to take off or enter an active runway.,none,operational_guidance,phraseology_rule,sim_executable,deterministic_test,An air traffic control (ATC) route clearance is not an instruction to take off or enter an active runway.,3903,3950,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_2_8_3_en/icao9432-extracted::readback_2_8_3_en::fe3b04ca9c3384d9.json,readback-hearback,chunk-01-comms-readback-transfer,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::17e1dfdf4ce57253,icao9432-extracted,readback_continuation_2_8_3_7_to_2_8_3_10_en,icao9432_readback_family,The controller shall listen to the read-back to ascertain that the clearance or instruction has been correctly acknowledged by the flight crew.,shall,authoritative_requirement,rule,sim_executable,deterministic_test,The controller shall listen to the read-back to ascertain that the clearance or instruction has been correctly acknowledged by the flight crew,4011,4085,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_continuation_2_8_3_7_to_2_8_3_10_en/icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::17e1dfdf4ce57253.json,readback-hearback,chunk-01-comms-readback-transfer,must,testable-now,protocolEvidence,,
icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::4c808d67d281ff71,icao9432-extracted,readback_continuation_2_8_3_7_to_2_8_3_10_en,icao9432_readback_family,An aircraft should terminate the read-back by its call sign.,should,operational_guidance,phraseology_rule,review_only,review_only,An aircraft should terminate the read-back by its call sign.,4011,4085,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_continuation_2_8_3_7_to_2_8_3_10_en/icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::4c808d67d281ff71.json,readback-hearback,chunk-01-comms-readback-transfer,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::ace4ab7ff5d53a66,icao9432-extracted,readback_continuation_2_8_3_7_to_2_8_3_10_en,icao9432_readback_family,The controller shall take immediate action to correct any discrepancies revealed by the read-back.,shall,authoritative_requirement,rule,sim_executable,deterministic_test,shall take immediate action to correct any discrepancies revealed by the read-back.,4011,4085,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_continuation_2_8_3_7_to_2_8_3_10_en/icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::ace4ab7ff5d53a66.json,readback-hearback,chunk-01-comms-readback-transfer,must,testable-now,protocolEvidence,,
icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::ce25c18f1b44a6a8,icao9432-extracted,readback_continuation_2_8_3_7_to_2_8_3_10_en,icao9432_readback_family,See: APPENDIX 1 DIFFERENCES FROM ICAO RADIOTELEPHONY PROCEDURES,note,background_support,definition,review_only,review_only,See: APPENDIX 1 DIFFERENCES FROM ICAO RADIOTELEPHONY PROCEDURES,4011,4085,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/readback_continuation_2_8_3_7_to_2_8_3_10_en/icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::ce25c18f1b44a6a8.json,readback-hearback,chunk-01-comms-readback-transfer,must,testable-now,protocolEvidence,,
