document_id,title,text_path,pdf_path,source_role,authority_class,in_documents_manifest,text_file_exists,pdf_file_exists,line_count,manifest_section_count,manifest_covered_unique_lines,manifest_covered_pct_of_text,uncovered_lines_in_text,identity_check,relation_notes
cap413-extracted,CAP 413 - UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,research/pdf/249.pdf,manifested_full_extract,operational_guidance,true,true,true,21957,12,509,2.32,21448,pdftotext first page: 'Radiotelephony Manual CAP 413'; pdfinfo pages=372.,Full CAP 413 extract used by documents/cap413.json.
cap413-aerodrome-chapter,CAP 413 - aerodrome phraseology chapter excerpt,research/txt/cap413-aerodrome-chapter.txt,research/pdf/249.pdf,unmanifested_subset_extract,operational_guidance,false,true,true,2701,0,0,0.00,2701,First lines show CAP 413 Chapter 4: Aerodrome Phraseology; same PDF as cap413-extracted.,Local excerpt/subset file; not referenced by documents/*.json.
egast-vfr-extracted,EGAST GA9 - VFR Phraseology Pocket Guide,research/txt/egast-vfr-extracted.txt,research/pdf/EGAST_Radiotelephony-guide-for-VFR-pilots.pdf,manifested_full_extract,best_practice,true,true,true,2154,1,70,3.25,2084,pdftotext first page: 'A Guide to phraseology FOR GENERAL AVIATION PILOTS IN EUROPE'; pdfinfo pages=25.,Full EGAST guide extract used by documents/egast.json.
h01-extracted,Austro Control AIC A 21/23 - Radio Communication Procedures,research/txt/h01-extracted.txt,research/pdf/H_01_LO_Circ_2023_A_21_en_2023-11-16_1111697.pdf,manifested_full_extract,operational_guidance,true,true,true,16402,3,293,1.79,16109,"pdftotext first page: AIC A 21/23, effective date 28 DEC 2023; pdfinfo pages=148.",Full bilingual AIC extract used by documents/h01.json.
h01-aerodrome-chapter,Austro Control AIC A 21/23 - aerodrome/phraseology excerpt,research/txt/h01-aerodrome-chapter.txt,research/pdf/H_01_LO_Circ_2023_A_21_en_2023-11-16_1111697.pdf,unmanifested_subset_extract,operational_guidance,false,true,true,2301,0,0,0.00,2301,First lines are bilingual H01 phraseology continuation; same PDF as h01-extracted.,Local excerpt/subset file; not referenced by documents/*.json.
icao4444-extracted,ICAO Doc 4444 PANS-ATM,research/txt/icao4444-extracted.txt,research/pdf/icao-4444.pdf,manifested_full_extract,authoritative_requirement,true,true,true,31591,15,869,2.75,30722,"pdftotext first page: Doc 4444 PANS-ATM, Sixteenth Edition 2016; pdfinfo pages=476.",Full Doc 4444 extract used by documents/icao4444.json.
icao9432-extracted,ICAO Doc 9432 - Manual of Radiotelephony / Polish attachment,research/txt/icao9432-extracted.txt,research/pdf/Zalacznik1.pdf,manifested_full_extract,operational_guidance,true,true,true,10131,4,353,3.48,9778,pdftotext first page: Doc 9432 Manual of Radiotelephony; pdfinfo pages=194.,Bilingual English/Polish extract used by documents/icao9432.json.
icao9432-aerodrome-chapter,ICAO Doc 9432 - aerodrome-control excerpt,research/txt/icao9432-aerodrome-chapter.txt,research/pdf/Zalacznik1.pdf,unmanifested_subset_extract,operational_guidance,false,true,true,3001,0,0,0.00,3001,First lines are Doc 9432 radiotelephony content; same PDF as icao9432-extracted.,Local excerpt/subset file; not referenced by documents/*.json.
nolan-fundamentals-extracted,"Michael S. Nolan - Fundamentals of Air Traffic Control, Fifth Edition",research/txt/nolan-fundamentals-extracted.txt,research/pdf/fundies.pdf,unmanifested_full_extract,secondary_background,false,true,true,42854,0,0,0.00,42854,"pdftotext first page: Fundamentals of Air Traffic Control, Fifth Edition; pdfinfo pages=674.",Separate local textbook extract; not referenced by documents/*.json.
safetysense22-extracted,UK CAA SafetySense Leaflet 02 - Radiotelephony,research/txt/safetysense22-extracted.txt,research/pdf/safetysense22-radiotelephony.pdf,manifested_full_extract,best_practice,true,true,true,2002,1,68,3.40,1934,pdftotext first page: Radiotelephony for General Aviation Pilots SSL 22; pdfinfo pages=30.,Full SafetySense leaflet extract used by documents/safetysense22.json.
sera-923-2012-extracted,Commission Implementing Regulation (EU) No 923/2012 - SERA,research/txt/sera-923-2012-extracted.txt,research/pdf/CELEX_32012R0923_EN_TXT.pdf,manifested_full_extract,authoritative_requirement,true,true,true,4899,9,227,4.63,4672,pdftotext first page: Commission Implementing Regulation (EU) No 923/2012; pdfinfo pages=66.,Full CELEX extract used by documents/sera.json.
slovenia-vfr-extracted,Slovenia VFR Phraseology Guide,research/txt/slovenia-vfr-extracted.txt,research/pdf/filea0162087916d2b1.pdf,manifested_full_extract,best_practice,true,true,true,1774,1,42,2.37,1732,pdftotext first page: Contents with 12 VFR phraseology chapters; pdfinfo pages=40.,Full Slovenia VFR guide extract used by documents/slovenia-vfr.json.
