rowId,documentId,sectionRef,oldDisposition,oldPriority,newDisposition,newPriority,stillNeedsHardening,outcome,newNextAction
cap413-extracted::cap413_ch2,cap413-extracted,CAP413 Ch2,partially_extracted,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
cap413-extracted::cap413_ch2_clearance_issue_and_read_back_requirements,cap413-extracted,CAP413 Ch2 Clearance Issue and Read-back Requirements,partially_extracted,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
cap413-extracted::cap413_ch4,cap413-extracted,CAP413 Ch4,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
cap413-extracted::cap413_ch8,cap413-extracted,CAP413 Ch8,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
h01-extracted::h01_3_3,h01-extracted,H01 3.3,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
h01-extracted::h01_3_8,h01-extracted,H01 3.8,partially_extracted,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
h01-extracted::h01_3_10,h01-extracted,H01 3.10,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
h01-extracted::h01_4,h01-extracted,H01 4,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
h01-extracted::h01_4_1,h01-extracted,H01 4.1,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
h01-extracted::h01_4_4,h01-extracted,H01 4.4,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
h01-extracted::h01_5_3,h01-extracted,H01 5.3,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
h01-extracted::h01_5_4,h01-extracted,H01 5.4,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
h01-extracted::h01_5_6,h01-extracted,H01 5.6,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
h01-extracted::h01_5_8,h01-extracted,H01 5.8,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_4_1,icao4444-extracted,ICAO4444 4.1,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_4_2,icao4444-extracted,ICAO4444 4.2,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_4_3,icao4444-extracted,ICAO4444 4.3,partially_extracted,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_4_5,icao4444-extracted,ICAO4444 4.5,partially_extracted,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_4_6,icao4444-extracted,ICAO4444 4.6,partially_extracted,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_4_7,icao4444-extracted,ICAO4444 4.7,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_4_9,icao4444-extracted,ICAO4444 4.9,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_4_10,icao4444-extracted,ICAO4444 4.10,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_4_11,icao4444-extracted,ICAO4444 4.11,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_4_14,icao4444-extracted,ICAO4444 4.14,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_5_2,icao4444-extracted,ICAO4444 5.2,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
