documentStem,documentId,sectionId,familyId,startLine,endLine,authorityCeiling,acceptedRecords,pendingRecords,rejectedRecords,state,notes
cap413,cap413-extracted,corrections_2_54_to_2_55,cap413_clearance_comms_guidance_family,6255,6272,operational_guidance,0,0,0,ready_to_ingest,CAP 413 §§2.54-2.55: correction and full-message repetition phraseology. Split from the combined hardening window after first ingestion produced more candidates than the review cap.
cap413,cap413-extracted,acknowledgement_receipt_2_56,cap413_clearance_comms_guidance_family,6273,6287,operational_guidance,0,0,0,ready_to_ingest,CAP 413 §2.56: acknowledgement of receipt by callsign or Roger/callsign. Split from the combined hardening window after first ingestion produced more candidates than the review cap.
cap413,cap413-extracted,transfer_content_2_57_to_2_59,cap413_clearance_comms_guidance_family,6288,6306,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 §§2.57-2.59: transfer-instruction content, single-message guidance, readback-before-transfer guidance, and assumption of satisfactory transfer. Split from the transfer window after live ingestion produced invalid truncated JSON."
cap413,cap413-extracted,frequency_change_permission_2_60_to_2_61,cap413_clearance_comms_guidance_family,6308,6324,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 §§2.60-2.61: advised frequency change, pilot notification before unauthorised change, and controlled-airspace permission before changing frequency. Split from the transfer window after live ingestion produced invalid truncated JSON."
cap413,cap413-extracted,standby_monitor_conditional_contact_2_62_to_2_63,cap413_clearance_comms_guidance_family,6326,6379,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 §§2.62-2.63: standby/monitor use, contact at a point or level, and radar-heading report on transfer. Split from the transfer window after live ingestion produced invalid truncated JSON."
cap413,cap413-extracted,freecall_change_intention_2_64,cap413_clearance_comms_guidance_family,6381,6390,operational_guidance,0,0,0,ready_to_ingest,CAP 413 §2.64: pilot request or notification when intending to freecall or change to another agency. Split from the transfer window after live ingestion produced invalid truncated JSON.
cap413,cap413-extracted,clearance_issue_context_2_65_to_2_67,cap413_clearance_comms_guidance_family,6391,6428,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 §§2.65-2.67: clearance issue context before the existing readback window, including clarity, start-up timing, route/local-departure separation, tactical-restriction reiteration, taxi/take-off timing, and take-off/departure wording. Split from the combined hardening window after first ingestion produced more candidates than the review cap."
cap413,cap413-extracted,unable_reclearance_critical_info_2_72_to_2_75,cap413_clearance_comms_guidance_family,6556,6604,operational_guidance,0,0,0,ready_to_ingest,"CAP 413 §§2.72-2.75: UNABLE, revised-clearance cancellation, and critical-information repetition. Hardened in clearance_comms_2026-04-30."
icao4444,icao4444-extracted,control_responsibility_4_3_1,icao4444_clearance_comms_contract_family,3071,3085,authoritative_requirement,0,0,0,ready_to_ingest,ICAO Doc 4444 §4.3.1 General: ATS authority designation of ATC unit and working-position responsibility. Hardened in clearance_comms_2026-04-30.
icao4444,icao4444-extracted,control_transfer_app_acc_sector_4_3_3_to_4_3_5,icao4444_clearance_comms_contract_family,3132,3164,authoritative_requirement,0,0,0,ready_to_ingest,ICAO Doc 4444 §§4.3.3-4.3.5: approach/area and sector responsibility transfer rules. Hardened in clearance_comms_2026-04-30.
icao4444,icao4444-extracted,clearance_scope_contents_4_5_1_to_4_5_7_4,icao4444_clearance_comms_contract_family,3265,3400,authoritative_requirement,0,0,0,ready_to_ingest,"ICAO Doc 4444 §§4.5.1-4.5.7.4: clearance scope, purpose, timing, contents, clearance limit, route, level, and amended-clearance semantics. Hardened in clearance_comms_2026-04-30."
icao4444,icao4444-extracted,position_reporting_voice_4_11_1_to_4_11_3,icao4444_clearance_comms_contract_family,3723,3808,authoritative_requirement,0,0,0,ready_to_ingest,"ICAO Doc 4444 §§4.11.1-4.11.3: position-report timing, voice-report contents, and initial call content after channel change. Hardened in clearance_comms_2026-04-30."
icao4444,icao4444-extracted,systems_equipment_failure_4_14,icao4444_clearance_comms_contract_family,4116,4120,authoritative_requirement,0,0,0,ready_to_ingest,"ICAO Doc 4444 §4.14: ATC unit reporting of communication, navigation, surveillance, or other safety-significant system failures. Hardened in clearance_comms_2026-04-30."
icao4444,icao4444-extracted,phraseology_transfer_frequency_12_3_1_4,icao4444_clearance_comms_phraseology_family,13784,13833,operational_guidance,0,0,0,ready_to_ingest,ICAO Doc 4444 §12.3.1.4: transfer of control/frequency-change phraseologies. Manifest authority ceiling is operational_guidance because this seam uses the window as phraseology support. Hardened in clearance_comms_2026-04-30.
icao4444,icao4444-extracted,phraseology_clearance_issuance_12_3_2_1,icao4444_clearance_comms_phraseology_family,14257,14293,operational_guidance,0,0,0,ready_to_ingest,ICAO Doc 4444 §12.3.2.1: clearance issuance and reclearance phraseologies. Manifest authority ceiling is operational_guidance because this seam uses the window as phraseology support. Hardened in clearance_comms_2026-04-30.
icao9432,icao9432-extracted,transfer_communications_2_8_2_en,icao9432_clearance_comms_phraseology_family,3830,3855,operational_guidance,0,0,0,ready_to_ingest,ICAO Doc 9432 §2.8.2 English-only transfer-of-communications guidance and examples. Polish translation begins after this window. Hardened in clearance_comms_2026-04-30.
