sampleId,sampleKind,bucket,documentId,sectionId,canonicalId,lifecycleState,authorityClass,modality,requirementKind,testability,verificationMode,riskTags,claimText,exactSourceQuotes,curationAction,reviewVerdict,errorType,severity,reviewerNotes
R001,record,candidates,cap413-extracted,air_ground_communication_failure_2_88,cap413-extracted::air_ground_communication_failure_2_88::8d2caa3a520ede11,accepted,background_support,note,cross_reference,review_only,review_only,challenger_overridden;curated;judge_demoted;support_only,Specific procedures for the action to be taken by pilots of IFR and Special VFR flights are contained in the appropriate AIP ENR and/or AD sections.,Specific procedures for the action to be taken by pilots of IFR and Special VFR flights are contained in the appropriate AIP ENR and/or AD sections.,promote_with_corrections,,,,
R002,record,rejected,cap413-extracted,clearance_issue_context_2_65_to_2_67,cap413-extracted::clearance_issue_context_2_65_to_2_67::983c86331a930a1b,rejected,operational_guidance,shall,rule,sim_executable,deterministic_test,challenger_overridden;curated;curation_reject;executable_or_partial;local_or_best_practice;non_accepted;quote_audit_fail,"When a route clearance is passed subsequent to local departure instructions, or to an aircraft that is already airborne, tactical restrictions that remain in place shall be reiterated to ensure that the immediate profile to be flown by the pilot is unambiguous.","When a route clearance is passed subsequent to local departure instructions, or to an aircraft that is already airborne, tactical restrictions that remain in place shall be reiterated to ensure that the immediate profile to be flown by the pilot is unambiguous.",reject,,,,
R003,record,candidates,cap413-extracted,clearance_issue_context_2_65_to_2_67,cap413-extracted::clearance_issue_context_2_65_to_2_67::fa08347c34840807,accepted,operational_guidance,mixed,workflow_constraint,review_only,review_only,challenger_overridden;curated;judge_demoted;local_or_best_practice,"Generally, controllers will avoid passing a clearance to a pilot engaged in complicated taxiing manoeuvres and on no occasion when the pilot is engaged in line up or take-off manoeuvres.","Generally, controllers will avoid passing a clearance to a pilot engaged in complicated taxiing manoeuvres and on no occasion when the pilot is engaged in line up or take-off manoeuvres.",promote_with_corrections,,,,
R004,record,candidates,cap413-extracted,compliance_timing_2_82_to_2_87,cap413-extracted::compliance_timing_2_82_to_2_87::4cb8628d976ff868,accepted,operational_guidance,example,phraseology_rule,review_only,review_only,curated;dialogue_examples;judge_demoted;support_only,"Examples of using 'now' include: 'BIGJET 347, reduce speed now 210 kt' and 'Reducing speed now 210 kt, BIGJET 347'.","BIGJET 347, reduce speed now 210 kt
---
Reducing speed now 210 kt, BIGJET 347",promote,,,,
R005,record,rejected,cap413-extracted,corrections_2_54_to_2_55,cap413-extracted::corrections_2_54_to_2_55::69ca0abbf1802295,rejected,operational_guidance,example,best_practice,review_only,review_only,curated;curation_reject;judge_demoted;non_accepted;support_only,"Example of partial correction: 'BIGJET 347, Wicken 47 FL280 Marlow 07 correction Marlow 57'.","BIGJET 347, Wicken 47 FL280 Marlow 07 correction Marlow 57",reject,,,,
R006,record,candidates,cap413-extracted,freecall_change_intention_2_64,cap413-extracted::freecall_change_intention_2_64::14b857a7efd5c5a1,accepted,operational_guidance,example,phraseology_example,review_only,review_only,curated;judge_demoted;support_only,"Examples of phraseology for requesting a change to another agency include 'request change to [Agency] [Frequency]' and '[Agency], [Callsign], changing to [Agency] [Frequency]'.","Westbury, G-ABCD, request change to Wrayton Information 125.750
---
Wrayton Information, G-ABCD, changing to Wrayton Centre 121.5 for Practice Pan",promote_with_corrections,,,,
R007,record,candidates,cap413-extracted,frequency_change_permission_2_60_to_2_61,cap413-extracted::frequency_change_permission_2_60_to_2_61::e87cb5ce96b795fd,accepted,operational_guidance,none,best_practice,review_only,review_only,challenger_overridden;curated;judge_demoted,An aircraft will normally be advised by the appropriate aeronautical station to change from one radio frequency to another in accordance with agreed procedures.,An aircraft will normally be advised by the appropriate aeronautical station to change from one radio frequency to another in accordance with agreed procedures.,promote_with_corrections,,,,
R008,record,candidates,cap413-extracted,ground_air_communication_failure_2_89_to_2_91,cap413-extracted::ground_air_communication_failure_2_89_to_2_91::d18240dcecab405d,accepted,operational_guidance,shall,rule,partially_executable,property_or_family_test,challenger_overridden;curated;executable_or_partial;judge_demoted,"Blind transmission messages shall include the level, route and EAT (or ETA) to which it is assumed the aircraft is adhering.","1. The level, route and EAT (or ETA) to which it is assumed the aircraft is adhering.",promote,,,,
R009,record,candidates,cap413-extracted,readback_2_68_2_71,cap413-extracted::readback_2_68_2_71::5be7cfa8ac79626b,accepted,operational_guidance,none,workflow_constraint,sim_executable,deterministic_test,challenger_overridden;curated;dialogue_examples;executable_or_partial;judge_demoted,"If a readback is not received for a required message, the pilot/driver will be asked to do so.",If a readback is not received the pilot/driver will be asked to do so,promote_with_corrections,,,,
R010,record,candidates,cap413-extracted,transfer_content_2_57_to_2_59,cap413-extracted::transfer_content_2_57_to_2_59::28c08ec2a7005ec7,accepted,operational_guidance,should,best_practice,partially_executable,property_or_family_test,curated;executable_or_partial;judge_demoted,Transfer of communication instructions should be passed in a single message.,Transfer of communication instructions should be passed in a single message.,promote,,,,
R011,record,rejected,cap413-extracted,unable_reclearance_critical_info_2_72_to_2_75,cap413-extracted::unable_reclearance_critical_info_2_72_to_2_75::af1bed78594b1d89,rejected,authoritative_requirement,shall,definition,review_only,property_or_family_test,challenger_overridden;curated;curation_reject;judge_overridden;non_accepted;quote_audit_fail,"Critical information is information, other than that required to enable routine flight, which must be received by pilots to ensure the safety and effective operation of their aircraft.","Critical information is information, other than that required to enable routine flight, which must be received by pilots to ensure the safety and effective operation of their aircraft.",reject,,,,
