sampleId,sampleKind,bucket,documentId,sectionId,canonicalId,lifecycleState,authorityClass,modality,requirementKind,testability,verificationMode,riskTags,claimText,exactSourceQuotes,curationAction,reviewVerdict,errorType,severity,reviewerNotes
R001,record,candidates,cap413-extracted,readback_2_68_2_71,cap413-extracted::readback_2_68_2_71::5be7cfa8ac79626b,accepted,operational_guidance,none,workflow_constraint,sim_executable,deterministic_test,challenger_overridden;curated;dialogue_examples;executable_or_partial;judge_demoted,"If a readback is not received for a required message, the pilot/driver will be asked to do so.",If a readback is not received the pilot/driver will be asked to do so,promote_with_corrections,correct,,,Reviewed against source quote/window; no material record-level issue found.
R002,record,candidates,egast-vfr-extracted,readback_advisory,egast-vfr-extracted::readback_advisory::2a5d4629a99284e3,accepted,best_practice,must,rule,sim_executable,deterministic_test,challenger_overridden;curated;executable_or_partial;judge_demoted;local_or_best_practice;nested_conditions,If in any doubt you must request clarification.,If in any doubt you must request clarification.,promote_with_corrections,correct,,,Reviewed against source quote/window; no material record-level issue found.
R003,record,candidates,egast-vfr-extracted,readback_advisory,egast-vfr-extracted::readback_advisory::2c0a6da5b0abc95f,accepted,background_support,note,background_support,review_only,review_only,challenger_overridden;curated;judge_demoted;local_or_best_practice;nested_conditions;support_only,Reading back a clearance and any safety critical information helps both the pilot and the controller understand what the aircraft has been instructed to do.,Reading back a clearance and any safety critical information helps both the pilot and the controller understand what the aircraft has been instructed to do.,promote_with_corrections,correct,,,Reviewed against source quote/window; no material record-level issue found.
R004,record,candidates,egast-vfr-extracted,readback_advisory,egast-vfr-extracted::readback_advisory::60929bb516ae7098,accepted,best_practice,should,best_practice,partially_executable,property_or_family_test,challenger_overridden;curated;executable_or_partial;judge_demoted;local_or_best_practice;nested_conditions,It is normally best to read back the items in the order given.,It is normally best to read back the items in the order given,promote,correct,,,Reviewed against source quote/window; no material record-level issue found.
R005,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::11f3df660516dfe3,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,bilingual;challenger_overridden;executable_or_partial;nested_conditions;parent_child,Voice read-back of CPDLC messages shall not be required.,Voice read-back of CPDLC messages shall not be required.,,correct,,,Reviewed against source quote/window; no material record-level issue found.
R006,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::1ba408f68e9b501d,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,bilingual;challenger_overridden;curated;executable_or_partial;judge_demoted;nested_conditions;parent_child,"Clearances and instructions to enter, land on, take off from, hold short of, cross, taxi and backtrack on any runway shall always be read back.","The following items shall always be read back:
---
Clearances and instructions to enter, land on, take off from, hold short of, cross, taxi and backtrack on any runway",promote,correct,,,Reviewed against source quote/window; no material record-level issue found.
R007,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::299a154acafe87cc,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,bilingual;challenger_overridden;executable_or_partial;nested_conditions;parent_child,"Transition levels shall always be read back, whether issued by the controller or contained in ATIS broadcasts.","The following items shall always be read back:
---
Transition levels, whether issued by the controller or contained in ATIS broadcasts.",,correct,,,Reviewed against source quote/window; no material record-level issue found.
R008,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::6281074482768bcc,accepted,operational_guidance,should,phraseology_rule,partially_executable,property_or_family_test,bilingual;curated;executable_or_partial;judge_demoted;nested_conditions;parent_child,"If both instructions subject to read-back and other information – such as weather reports – are received in the same message, the information should be acknowledged with the words such as WEATHER RECEIVED after the instruction has been read back.","If both instructions subject to read-back and other information – such as weather reports – are received in the same message, the information should be acknowledged with the words such as WEATHER RECEIVED after the instruction has been read back.",promote,correct,,,Reviewed against source quote/window; no material record-level issue found.
R009,record,rejected,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::647df1446645072b,rejected,authoritative_requirement,shall,rule,partially_executable,property_or_family_test,bilingual;curated;curation_reject;executable_or_partial;judge_demoted;nested_conditions;non_accepted;parent_child,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,reject,correct,,,Reviewed against source quote/window; no material record-level issue found.
R010,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::d19604b475643777,accepted,operational_guidance,may,advisory_permission,review_only,review_only,bilingual;curated;judge_demoted;nested_conditions;parent_child,It is permissible for verification for the receiving station to read back the message as an additional acknowledgement of receipt.,It is permissible for verification for the receiving station to read back the message as an additional acknowledgement of receipt.,promote_with_corrections,correct,,,Reviewed against source quote/window; no material record-level issue found.
R011,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::fb4e915bd2eabca3,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,bilingual;curated;executable_or_partial;judge_demoted;nested_conditions;parent_child,"Runway-in-use, altimeter settings, SSR codes, newly assigned communication channels, level instructions, heading and speed instructions shall always be read back.","The following items shall always be read back:
---
Runway-in-use, altimeter settings, SSR codes, newly assigned communication channels, level instructions, heading and speed instructions",promote,correct,,,Reviewed against source quote/window; no material record-level issue found.
R012,record,candidates,h01-extracted,corrections_3_8_3,h01-extracted::corrections_3_8_3::16272622eb9270ac,accepted,operational_guidance,should,best_practice,review_only,review_only,bilingual;challenger_overridden;curated;judge_demoted,"Specific items should be requested, as appropriate, such as SAY AGAIN WIND.","Specific items should be requested, as appropriate, such as “SAY AGAIN WIND”.",promote,correct,,,Reviewed against source quote/window; no material record-level issue found.
R013,record,candidates,h01-extracted,end_of_conversation_3_8_2,h01-extracted::end_of_conversation_3_8_2::1d66565b4872e6a0,accepted,operational_guidance,shall,rule,sim_executable,deterministic_test,bilingual;challenger_overridden;executable_or_partial,A radiotelephone conversation shall be terminated by the receiving ATS unit or the aircraft using its own call sign.,A radiotelephone conversation shall be terminated by the receiving ATS unit or the aircraft using its own call sign.,,correct,,,Reviewed against source quote/window; no material record-level issue found.
R014,record,candidates,icao4444-extracted,aerodrome_traffic_7_6,icao4444-extracted::aerodrome_traffic_7_6::ea64ad7c56d8e4ef,accepted,best_practice,should,best_practice,partially_executable,property_or_family_test,executable_or_partial;judge_overridden;table_or_figure,Aircraft should be watched closely as they approach these positions so that proper clearances may be issued without delay.,Aircraft should be watched closely as they approach these positions so that proper clearances may be issued without delay.,,correct,,,Reviewed against source quote/window; no material record-level issue found.
R015,record,rejected,icao4444-extracted,aerodrome_traffic_7_6,icao4444-extracted::aerodrome_traffic_7_6::f11471c05d5603f6,rejected,authoritative_requirement,shall,rule,sim_executable,deterministic_test,challenger_overridden;curated;curation_reject;executable_or_partial;judge_demoted;non_accepted;table_or_figure,Clearance to land shall be issued at Position 4 as practicable.,Position 4. Clearance to land is issued here as practicable.,reject,correct,,,Reviewed against source quote/window; no material record-level issue found.
