source_unit_id,chunk,final_state,blockers,coverage_cell
icao9432-extracted::communications_2_8_1_en::5efac97fddfd54ca,chunk_01_comms_readback_transfer,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::communications_2_8_1_en::8b0487b183cd02cf,chunk_01_comms_readback_transfer,policy-blocked,POLICY-1,POLICY-1
icao9432-extracted::communications_2_8_1_en::a685cef087951878,chunk_01_comms_readback_transfer,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::communications_2_8_1_en::b7acdc88125f1510,chunk_01_comms_readback_transfer,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::readback_2_8_3_en::36e6ad16cffe8726,chunk_01_comms_readback_transfer,policy-blocked,POLICY-1,POLICY-1
icao9432-extracted::readback_2_8_3_en::f06dfa1cefd2d649,chunk_01_comms_readback_transfer,split: supported rendered controller templates covered; cancellation wording phraseology-later,PHRASE-1,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace; cancellation wording and unsupported templates remain PHRASE-1
icao9432-extracted::readback_2_8_3_en::fe3b04ca9c3384d9,chunk_01_comms_readback_transfer,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::readback_continuation_2_8_3_7_to_2_8_3_10_en::4c808d67d281ff71,chunk_01_comms_readback_transfer,split: supported rendered readbacks covered; remaining templates phraseology-later,PHRASE-1,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace; unsupported readback templates remain PHRASE-1
icao9432-extracted::transfer_communications_2_8_2_en::96720e821bf926cc,chunk_01_comms_readback_transfer,covered-green rendered phraseology,,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::095624c5163849a4,chunk_02_radio_procedures_policy,covered-red + policy-blocked,POLICY-1,EvidenceProjectionPressureTest; fn-52-implement-icao-9432-chunk-02.1; POLICY-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::35ad4a7f3d8d2ead,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::39a4619cec62a93f,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::86ba1c63169eceff,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::b6a69b358e0a53f2,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::bba49998378e3b31,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::c43cb2d0a82356bd,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::d822c98e298fcbfd,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::f089b47d46d9653d,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::test_procedures_2_8_4_en::45020d8d667c291c,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::test_procedures_2_8_4_en::486f651c71895e42,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::test_procedures_2_8_4_en::b0c636108a61a135,chunk_02_radio_procedures_policy,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::test_procedures_2_8_4_en::d67d1f63cbbecd7d,chunk_02_radio_procedures_policy,split: duration covered-green / content phraseology-later,PHRASE-1,EvidenceProjectionPressureTest; fn-52-implement-icao-9432-chunk-02.3; PHRASE-1
icao9432-extracted::test_procedures_2_8_4_en::daa4fadde3c06a1f,chunk_02_radio_procedures_policy,policy-blocked,POLICY-1,POLICY-1
icao9432-extracted::pushback_powerback_4_3_en::1aae1f61b91984e8,chunk_03_ground_movement,model-gap,PUSHBACK-1,Icao9432ModelGapSourceUnitSpecTest; PUSHBACK-1
icao9432-extracted::pushback_powerback_4_3_en::5980a8f786170b01,chunk_03_ground_movement,split: scenario-authored ATC/GROUND branch covered-green; apron-management branch policy-blocked,LocalProcedurePolicy,Icao9432PushbackSourceBackedScenarioTest; LocalProcedurePolicy
icao9432-extracted::pushback_powerback_4_3_en::b3652213a568f55f,chunk_03_ground_movement,covered-green,,Icao9432PushbackSourceBackedScenarioTest
icao9432-extracted::pushback_powerback_4_3_en::da5fd317668b375a,chunk_03_ground_movement,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::pushback_powerback_4_3_en::fc3dfdf7cc913637,chunk_03_ground_movement,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::taxi_4_4_en::03985c8e2cf3f473,chunk_03_ground_movement,policy-blocked,POLICY-1;LocalProcedurePolicy,POLICY-1; LocalProcedurePolicy
icao9432-extracted::taxi_4_4_en::417f64324f7495bf,chunk_03_ground_movement,covered-green,,Icao9432TaxiSourceBackedScenarioTest; configured LOWG taxi clearance limit policy
icao9432-extracted::takeoff_procedures_4_5_1_to_4_5_5_en::13264a6ac6d529c3,chunk_04_runway_departure,covered-green rendered phraseology,,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace
icao9432-extracted::takeoff_procedures_4_5_1_to_4_5_5_en::152f0ffb84869af5,chunk_04_runway_departure,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::takeoff_procedures_4_5_1_to_4_5_5_en::19cfd36a9fce4587,chunk_04_runway_departure,covered-green,,Icao9432Chunk04RunwayDepartureEvidenceTest; configured LOWG separate GROUND/TOWER transfer policy
icao9432-extracted::takeoff_procedures_4_5_1_to_4_5_5_en::42b0460ed4f07751,chunk_04_runway_departure,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::takeoff_procedures_4_5_1_to_4_5_5_en::4e0bacdd1c2c06e0,chunk_04_runway_departure,policy-blocked,POLICY-1,Icao9432ModelGapSourceUnitSpecTest; POLICY-1
icao9432-extracted::takeoff_procedures_4_5_1_to_4_5_5_en::a93888a25f0bad03,chunk_04_runway_departure,covered-green rendered phraseology,,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace
icao9432-extracted::takeoff_procedures_4_5_1_to_4_5_5_en::db8a2c3dcd586b0e,chunk_04_runway_departure,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::takeoff_procedures_4_5_6_to_4_5_7_en::2660849403bff7de,chunk_04_runway_departure,policy-blocked,POLICY-1,Icao9432ModelGapSourceUnitSpecTest; POLICY-1
icao9432-extracted::takeoff_procedures_4_5_6_to_4_5_7_en::9b30810984e06a35,chunk_04_runway_departure,phraseology-later,PHRASE-1,PHRASE-1
icao9432-extracted::takeoff_procedures_4_5_6_to_4_5_7_en::c386a5865bdd7876,chunk_04_runway_departure,policy-blocked,POLICY-1,Icao9432ModelGapSourceUnitSpecTest; POLICY-1
icao9432-extracted::takeoff_procedures_4_5_6_to_4_5_7_en::dd301daf2b69fe83,chunk_04_runway_departure,policy-blocked,POLICY-1,Icao9432ModelGapSourceUnitSpecTest; POLICY-1
