sampleId,sampleKind,bucket,documentId,sectionId,canonicalId,lifecycleState,authorityClass,modality,requirementKind,testability,verificationMode,riskTags,claimText,exactSourceQuotes,curationAction,reviewVerdict,errorType,severity,reviewerNotes
R001,record,candidates,cap413-extracted,air_ground_communication_failure_2_88,cap413-extracted::air_ground_communication_failure_2_88::8d2caa3a520ede11,accepted,background_support,note,cross_reference,review_only,review_only,challenger_overridden;curated;judge_demoted;support_only,Specific procedures for the action to be taken by pilots of IFR and Special VFR flights are contained in the appropriate AIP ENR and/or AD sections.,Specific procedures for the action to be taken by pilots of IFR and Special VFR flights are contained in the appropriate AIP ENR and/or AD sections.,promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R002,record,candidates,cap413-extracted,clearance_issue_context_2_65_to_2_67,cap413-extracted::clearance_issue_context_2_65_to_2_67::130f07dba17f0938,accepted,operational_guidance,none,definition,review_only,review_only,challenger_overridden;curated;judge_demoted;local_or_best_practice;support_only,An ATC route clearance is NOT an instruction to take-off or enter an active runway.,An ATC route clearance is NOT an instruction to take-off or enter an active runway.,promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R003,record,rejected,cap413-extracted,clearance_issue_context_2_65_to_2_67,cap413-extracted::clearance_issue_context_2_65_to_2_67::983c86331a930a1b,rejected,operational_guidance,shall,rule,sim_executable,deterministic_test,challenger_overridden;curated;curation_reject;executable_or_partial;local_or_best_practice;non_accepted;quote_audit_fail,"When a route clearance is passed subsequent to local departure instructions, or to an aircraft that is already airborne, tactical restrictions that remain in place shall be reiterated to ensure that the immediate profile to be flown by the pilot is unambiguous.","When a route clearance is passed subsequent to local departure instructions, or to an aircraft that is already airborne, tactical restrictions that remain in place shall be reiterated to ensure that the immediate profile to be flown by the pilot is unambiguous.",reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R004,record,candidates,cap413-extracted,compliance_timing_2_82_to_2_87,cap413-extracted::compliance_timing_2_82_to_2_87::16ae1b859dbd3904,accepted,operational_guidance,example,phraseology_rule,review_only,review_only,curated;dialogue_examples;judge_demoted;support_only,"Examples of using 'after passing' include: 'BIGJET 347, after passing North Cross, descend FL80' and 'After passing North Cross, descend FL80, BIGJET 347'.","BIGJET 347, after passing North Cross, descend FL80
---
After passing North Cross, descend FL80, BIGJET 347",promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R005,record,rejected,cap413-extracted,corrections_2_54_to_2_55,cap413-extracted::corrections_2_54_to_2_55::69ca0abbf1802295,rejected,operational_guidance,example,best_practice,review_only,review_only,curated;curation_reject;judge_demoted;non_accepted;support_only,"Example of partial correction: 'BIGJET 347, Wicken 47 FL280 Marlow 07 correction Marlow 57'.","BIGJET 347, Wicken 47 FL280 Marlow 07 correction Marlow 57",reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R006,record,candidates,cap413-extracted,freecall_change_intention_2_64,cap413-extracted::freecall_change_intention_2_64::14b857a7efd5c5a1,accepted,operational_guidance,example,phraseology_example,review_only,review_only,curated;judge_demoted;support_only,"Examples of phraseology for requesting a change to another agency include 'request change to [Agency] [Frequency]' and '[Agency], [Callsign], changing to [Agency] [Frequency]'.","Westbury, G-ABCD, request change to Wrayton Information 125.750
---
Wrayton Information, G-ABCD, changing to Wrayton Centre 121.5 for Practice Pan",promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R007,record,candidates,cap413-extracted,frequency_change_permission_2_60_to_2_61,cap413-extracted::frequency_change_permission_2_60_to_2_61::f3ee57c068d9104f,accepted,operational_guidance,example,phraseology_rule,review_only,review_only,curated;judge_demoted;support_only,"Example phraseology for frequency change: 'BIGJET 347, contact Wrayton Control 129.125'.","BIGJET 347, contact Wrayton Control 129.125",promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R008,record,candidates,cap413-extracted,ground_air_communication_failure_2_89_to_2_91,cap413-extracted::ground_air_communication_failure_2_89_to_2_91::d18240dcecab405d,accepted,operational_guidance,shall,rule,partially_executable,property_or_family_test,challenger_overridden;curated;executable_or_partial;judge_demoted,"Blind transmission messages shall include the level, route and EAT (or ETA) to which it is assumed the aircraft is adhering.","1. The level, route and EAT (or ETA) to which it is assumed the aircraft is adhering.",promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R009,record,candidates,cap413-extracted,readback_2_68_2_71,cap413-extracted::readback_2_68_2_71::5be7cfa8ac79626b,accepted,operational_guidance,none,workflow_constraint,sim_executable,deterministic_test,challenger_overridden;curated;dialogue_examples;executable_or_partial;judge_demoted,"If a readback is not received for a required message, the pilot/driver will be asked to do so.",If a readback is not received the pilot/driver will be asked to do so,promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R010,record,candidates,cap413-extracted,transfer_content_2_57_to_2_59,cap413-extracted::transfer_content_2_57_to_2_59::f21c2b31952f844e,accepted,operational_guidance,may,rule,partially_executable,property_or_family_test,curated;executable_or_partial;judge_demoted,"If no further communication is received from the pilot after an acknowledgement, satisfactory transfer of communication may be assumed.","If no further communication is received from the pilot after an acknowledgement, satisfactory transfer of communication may be assumed.",promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
