documentId,sectionId,acceptedRecords,pendingRecords
cap413-extracted,ch4_4_129_to_4_135,9,1
cap413-extracted,ch4_4_154_to_4_156_part2,9,1
cap413-extracted,ch4_4_17_to_4_23,8,1
cap413-extracted,ch4_4_184_to_4_190,11,5
cap413-extracted,ch4_4_33,5,1
cap413-extracted,ch4_4_34_to_4_39,15,1
cap413-extracted,ch4_4_50_to_4_60,14,2
cap413-extracted,ch4_4_84_part2,38,1
eppls-extracted,ch12_aeronautical_stations_position_reports,3,1
eppls-extracted,ch12_clearance_instruction_compliance_readback_items,13,1
eppls-extracted,ch12_clearance_readback_basics,2,1
eppls-extracted,ch12_communications_services_flight_workflow,7,1
eppls-extracted,ch12_conditional_clearance_identification,1,1
eppls-extracted,ch12_distress_urgency_general_actions,14,3
eppls-extracted,ch12_key_readbacks_takeoff_cleared_word_limits,5,2
eppls-extracted,ch12_operating_numbers_frequency_expression,7,1
eppls-extracted,ch12_radio_discipline_frequency_basics,12,1
eppls-extracted,ch12_radio_failure,14,1
eppls-extracted,ch12_relay_ground_tower_circuit,9,1
eppls-extracted,ch12_standard_words_report_to_words_twice,9,1
eppls-extracted,ch12_time_expression,2,1
h01-extracted,contingency_comms_low_altitude_5_8_1_to_5_8_3,11,1
h01-extracted,controlled_aerodromes_airborne_entry_5_3_2_1_to_5_3_2_3,23,2
h01-extracted,controlled_aerodromes_ground_start_5_3_1_1_to_5_3_1_3,8,1
h01-extracted,controlled_aerodromes_pushback_german_5_3_1_4,5,1
h01-extracted,controlled_aerodromes_takeoff_5_3_1_12_to_5_3_1_13,15,1
h01-extracted,distress_aircraft_action_4_1_2_1,5,1
h01-extracted,distress_silence_termination_4_1_2_3_to_4_1_2_5,9,2
h01-extracted,establishment_rtf_vfr_initial_calls_3_3_1_2,4,3
h01-extracted,general_flight_handling_clearances_5_6_1,11,1
h01-extracted,general_level_changes_5_6_13,22,1
h01-extracted,general_levels_5_6_12,21,1
h01-extracted,general_position_reporting_5_6_11,12,2
h01-extracted,general_traffic_avoidance_5_6_10_4_to_5_6_10_6,8,2
h01-extracted,general_traffic_information_5_6_10_1_to_5_6_10_3,4,1
h01-extracted,unlawful_interference_direction_finding_4_2_to_4_3,14,4
h01-extracted,urgency_aircraft_action_4_1_3_1,4,1
h01-extracted,urgency_other_medical_emergency_frequency_4_1_3_3_to_4_1_4,17,1
h01-extracted,voice_failure_ground_air_relay_4_4_2,6,1
icao4444-extracted,aerodrome_information_position_uncertainty_7_4_1_5,1,8
icao4444-extracted,aerodrome_initial_call_7_3,4,1
icao4444-extracted,aerodrome_phraseologies_takeoff_clearance_12_3_4_11,8,1
icao4444-extracted,aerodrome_tower_functions_7_1,22,1
icao4444-extracted,aerodrome_traffic_circuit_7_7,13,1
icao4444-extracted,air_ground_communications_failure_15_3,8,3
icao4444-extracted,altimeter_setting_4_10,19,2
icao4444-extracted,arriving_aircraft_information_6_6,22,3
icao4444-extracted,arriving_aircraft_sequence_eat_onward_6_5_6_to_6_5_8,26,1
icao4444-extracted,arriving_aircraft_standard_clearances_6_5_1_to_6_5_2_3,12,1
icao4444-extracted,arriving_aircraft_star_visual_instrument_6_5_2_4_to_6_5_4,18,1
icao4444-extracted,atc_phraseologies_aerodrome_status_rvsm_gnss_nav_12_3_1_11_to_12_3_1_15,22,1
icao4444-extracted,atc_phraseologies_met_position_reports_12_3_1_8_to_12_3_1_10,18,1
icao4444-extracted,departing_aircraft_comm_failure_sequence_6_3_2_5_to_6_3_3,1,1
icao4444-extracted,departing_aircraft_information_6_4,3,1
icao4444-extracted,departure_arrival_separation_5_7,5,4
icao4444-extracted,horizontal_lateral_criteria_rnav_parallel_5_4_1_2_1_3_to_5_4_1_2_1_6,10,1
icao4444-extracted,longitudinal_ads_b_ads_c_5_4_2_7_to_5_4_2_8,19,1
icao4444-extracted,longitudinal_mach_rnav_distance_5_4_2_5,12,2
icao4444-extracted,longitudinal_mach_time_5_4_2_4,6,4
icao4444-extracted,longitudinal_time_same_level_5_4_2_2_1,6,1
icao4444-extracted,parallel_runways_independent_types_requirements_6_7_3_1_to_6_7_3_2_part1,8,1
icao4444-extracted,reduced_runway_minima_values_7_11_7,9,1
icao4444-extracted,reduction_separation_minima_5_11,5,2
icao4444-extracted,speed_control_methods_arrivals_sid_star_4_6_2_to_4_6_4,15,1
icao4444-extracted,vertical_separation_5_3,15,1
icao4444-extracted,wake_turbulence_categories_4_9,7,1
icao9432-extracted,distress_urgency_intro_9_1_en,18,1
icao9432-extracted,takeoff_procedures_4_5_1_to_4_5_5_en,7,1
sera-923-2012-extracted,atis_arrival_departure_combined_identity_ops_9010_b_1_to_11,11,1
