sampleId,sampleKind,documentId,sectionId,familyId,sourcePath,startLine,endLine,lineCount,recordCount,riskTags,notes,omissionVerdict,missingRequirementCount,missingRequirementNotes,reviewerNotes
S001,section,cap413-extracted,readback_2_68_2_71,cap413_readback_family,research/txt/cap413-extracted.txt,6429,6555,127,8,dialogue_examples,"§2.68-2.71 Read-back Requirements (narrowed scope; the §2.65-2.67 introductory clauses and §2.72 UNABLE handling are out of scope for the readback-family proving slice). Numbered subsections with embedded RTF dialogue examples (BIGJET 347, G-ABCD, G-CD).",no_material_omission,0,,CAP 413 2.68-2.71 operative readback requirements are represented; examples are not treated as separate facts.
S002,section,egast-vfr-extracted,readback_advisory,egast_vfr_readback_family,research/txt/egast-vfr-extracted.txt,539,608,70,14,local_or_best_practice;nested_conditions,"Readback advisory family. Mixed best-practice prose, bullet list of items requiring readback, acknowledgement-by-callsign rule, Wilco usage, and read-back-when-required guidance, with inline page-layout noise. No clause numbering.",material_omission,3,"Missing accepted coverage for ROGER acknowledgement permission/meaning, WILCO permitted-use exceptions, and the take-off-clearance-first readback-order exception.",Material accepted/actionable coverage gap found in this source window.
S003,section,h01-extracted,acknowledgement_3_8_1,h01_readback_family,research/txt/h01-extracted.txt,4197,4337,141,12,bilingual;nested_conditions;parent_child,"§3.8.1 ACKNOWLEDGEMENT OF RECEIPT, items a)-h). Bilingual German/English: each lettered item appears twice (German first, English second) with the same letter marker. Nested numbered list 1-4 (the items always to be read back) is laid out separately from its parent clause c) due to two-column extraction.",no_material_omission,0,,H01 English obligations a-h and nested always-read-back items are represented; broad parent correctly rejected as redundant umbrella.
S004,section,h01-extracted,end_of_conversation_3_8_2,h01_end_of_conversation_family,research/txt/h01-extracted.txt,4339,4348,10,1,bilingual,§3.8.2 END OF CONVERSATION. Bilingual single-paragraph rule: a radiotelephone conversation shall be terminated by the receiving ATS unit or aircraft using its own callsign.,no_material_omission,0,,Single English end-of-conversation rule is represented.
S005,section,icao4444-extracted,aerodrome_traffic_7_6,icao4444_aerodrome_traffic_family,research/txt/icao4444-extracted.txt,8716,8810,95,15,table_or_figure,"§7.6.1-7.6.3.1.1 Control of Aerodrome Traffic: §7.6.1 General clarity-of-instructions duty, §7.6.2 Designated positions of aircraft (positions 1-6 with associated controller actions), §7.6.3.1 Traffic on the manoeuvring area, §7.6.3.1.1 Taxi clearance content rules. Includes inline figure-layout artifacts.",no_material_omission,0,,ICAO 4444 7.6 operative taxi-clearance and aerodrome-position requirements are represented; descriptive position records rejected where they overstate shall-strength.
S006,section,icao4444-extracted,departing_aircraft_7_9,icao4444_departing_aircraft_family,research/txt/icao4444-extracted.txt,9031,9110,80,19,nested_conditions;table_or_figure,"§7.9 Control of Departing Aircraft: §7.9.1 Departure sequence (with priority factors a-f), §7.9.2 Separation of departing aircraft (the 'crossed end of runway / started a turn' rule), §7.9.3.1-7.9.3.5 Take-off clearance (timing, ATC clearance prerequisite, TAKE-OFF phraseology rule, 'immediate take-off' clearance). Includes inline Note text and figure-layout artifacts.",material_omission,5,"Departure-sequence factors b-f (route after take-off, minimum departure interval, wake turbulence, priority aircraft, ATFM aircraft) are source-supported but remain rejected/absent from accepted records.",Material accepted/actionable coverage gap found in this source window.
S007,section,icao4444-extracted,readback_4_5_7_5,icao4444_readback_family,research/txt/icao4444-extracted.txt,3401,3429,29,9,nested_conditions;parent_child,"§4.5.7.5 Readback family: parent clause, subordinate list (a/b/c), notes, and following standalone clauses (4.5.7.5.1.1, 4.5.7.5.2, 4.5.7.5.2.1).",no_material_omission,0,,"ICAO 4444 4.5.7.5 readback list, controller readback check, CPDLC exception, and notes are represented."
S008,section,icao4444-extracted,transfer_4_3_2_1,icao4444_transfer_family,research/txt/icao4444-extracted.txt,3086,3131,46,10,nested_conditions;parent_child,"§4.3.2.1 Transfer family: arriving and departing control-transfer clauses, nested conditions, and supporting note. Parent + mutually-exclusive sibling shape (a/b).",no_material_omission,0,,ICAO 4444 4.3.2.1 arriving/departing transfer branches are represented by bundled manual-split records; over-atomic branch records are rejected.
S009,section,icao9432-extracted,taxi_4_4_en,icao9432_taxi_family,research/txt/icao9432-extracted.txt,4917,5139,223,9,dialogue_examples,"§4.4 Taxi Instructions, English portion. Comprehensive operational phraseology section: taxi-clearance content, runway-crossing, hold-short instructions, aircraft-stand procedures, with extensive RTF dialogue examples interleaved with rule prose.",no_material_omission,0,,"No material omission in the English taxi-instruction rules, but the accepted record set also includes Polish pushback material under this section, indicating a section-window contamination/over-inclusion risk."
S010,section,safetysense22-extracted,readbacks,safetysense22_readback_family,research/txt/safetysense22-extracted.txt,485,552,68,16,local_or_best_practice;nested_conditions,"Readbacks section. Best-practice prose with a numbered list (1-15) of items requiring readback, each item laid out across two lines (number on its own line, item text following) due to two-column extraction.",no_material_omission,0,,SafetySense22 readback list is represented by item-level accepted records; parent list heading is correctly rejected as redundant umbrella.
